Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,110.419998,111.309998,109.209999,110.230003,103.037552,3939900
2019-08-16,110.940002,111.330002,109.290001,110.519997,103.308632,3497600
2019-08-19,111.050003,112.940002,110.790001,112.529999,105.187462,2903500
2019-08-20,112.330002,112.879997,110.910004,111.010002,103.766640,2074800
2019-08-21,112.000000,112.440002,110.000000,111.459999,104.187286,2207300
2019-08-22,111.440002,112.269997,110.790001,111.610001,104.327507,1840200
2019-08-23,111.459999,112.559998,108.879997,109.510002,102.364540,3870100
2019-08-26,110.610001,111.820000,110.250000,111.779999,104.486404,2565500
2019-08-27,112.309998,112.879997,110.730003,110.730003,103.504898,2945200
2019-08-28,110.330002,111.540001,109.790001,110.970001,103.729263,1744400
2019-08-29,111.809998,112.379997,110.599998,112.250000,104.925751,2708600
2019-08-30,112.820000,114.169998,111.919998,112.970001,105.598763,2870700
2019-09-03,112.540001,114.019997,112.190002,113.959999,106.524178,3710300
2019-09-04,114.379997,114.500000,112.449997,113.250000,105.860474,3756400
2019-09-05,113.959999,115.440002,113.260002,114.599998,107.122406,4045900
2019-09-06,114.779999,114.989998,113.839996,114.050003,106.608299,2904700
2019-09-09,114.519997,114.519997,110.349998,111.070000,103.822739,4982300
2019-09-10,108.370003,111.129997,106.400002,111.099998,103.850784,6589500
2019-09-11,111.779999,112.000000,110.290001,111.690002,104.402267,3404100
2019-09-12,111.919998,112.419998,111.120003,111.470001,104.196632,3578500
2019-09-13,111.739998,112.150002,110.239998,110.889999,103.654480,2842600
2019-09-16,110.419998,110.529999,109.209999,110.129997,102.944061,1728900
2019-09-17,110.330002,111.190002,109.629997,111.120003,103.869476,2438100
2019-09-18,111.440002,112.910004,111.169998,112.720001,105.365082,3132500
2019-09-19,112.860001,115.110001,112.389999,114.349998,106.888718,3929800
2019-09-20,115.930000,117.230003,114.470001,116.160004,108.580627,7517700
2019-09-23,116.000000,116.540001,113.970001,114.180000,106.729813,2611300
2019-09-24,114.360001,114.550003,111.940002,113.250000,105.860474,3480200
2019-09-25,112.879997,113.849998,111.309998,111.389999,104.121857,3093400
2019-09-26,112.040001,112.660004,110.690002,111.820000,104.523811,2266400
2019-09-27,112.349998,113.370003,111.379997,112.370003,105.037910,1906300
2019-09-30,112.400002,113.449997,111.690002,111.830002,104.533142,2516600
2019-10-01,111.940002,112.449997,110.410004,110.959999,103.719910,2203400
2019-10-02,110.330002,110.639999,106.660004,107.000000,100.018288,4483900
2019-10-03,107.089996,108.099998,106.209999,107.290001,100.289360,2735000
2019-10-04,107.489998,108.260002,107.000000,108.199997,101.139999,2865300
2019-10-07,108.309998,108.650002,107.570000,107.830002,100.794144,1460800
2019-10-08,106.889999,108.330002,105.949997,107.190002,100.195900,2802500
2019-10-09,107.559998,108.150002,106.879997,107.300003,100.298721,1636600
2019-10-10,107.029999,107.489998,106.580002,106.919998,99.943512,2736900
2019-10-11,107.750000,109.139999,107.589996,108.360001,101.289558,2554900
2019-10-14,108.519997,109.129997,107.879997,107.900002,100.859566,1341300
2019-10-15,108.349998,110.099998,108.220001,109.699997,102.542122,1760000
2019-10-16,109.180000,109.480003,107.790001,107.949997,100.906303,2314600
2019-10-17,109.220001,109.459999,108.260002,108.459999,101.383041,2018900
2019-10-18,108.309998,108.940002,107.900002,108.639999,101.551308,2207100
2019-10-21,108.870003,109.000000,107.769997,107.910004,100.868935,3944900
2019-10-22,109.980003,111.459999,108.889999,109.839996,102.672981,5708500
2019-10-23,106.000000,107.750000,101.360001,107.400002,100.392212,9047500
2019-10-24,107.500000,108.209999,106.250000,107.839996,100.803482,3304500
2019-10-25,108.080002,110.589996,107.540001,110.199997,103.009499,4234600
2019-10-28,110.620003,113.190002,110.620003,112.989998,105.617455,4168500
2019-10-29,112.500000,112.809998,111.500000,111.669998,104.383575,2987800
2019-10-30,111.370003,113.209999,111.260002,112.720001,105.365082,2424700
2019-10-31,112.360001,114.669998,112.000000,113.949997,106.514809,4124400
2019-11-01,114.070000,114.510002,112.309998,112.510002,105.168770,2629100
2019-11-04,113.239998,114.330002,112.870003,113.110001,105.729645,3002100
2019-11-05,112.949997,113.080002,110.510002,111.250000,103.990990,3357300
2019-11-06,111.570000,114.290001,111.510002,113.820000,106.393303,3973700
2019-11-07,114.230003,114.629997,112.029999,112.769997,105.411804,3076200
2019-11-08,112.650002,113.570000,112.099998,113.529999,106.122223,2224100
2019-11-11,113.459999,114.209999,112.220001,112.800003,105.439865,1770200
2019-11-12,112.769997,114.040001,112.449997,113.169998,105.785713,2273200
2019-11-13,112.870003,113.529999,112.250000,112.790001,105.430511,3250600
2019-11-14,112.190002,112.360001,111.000000,111.389999,104.720718,2627100
2019-11-15,111.330002,113.820000,111.330002,113.190002,106.412949,4857400
2019-11-18,113.019997,114.129997,112.860001,114.070000,107.240257,3361600
2019-11-19,114.029999,116.120003,113.750000,115.099998,108.208580,3781600
